Name,Type,Price,Category Gender,Size,min_size,max_size,Rating,Review Count,Status,Product Link
rayon gathered tunic  long sleeve,rayon,129.9,women,xs-3xl,xs,3xl,5.0,1,0,https://www.uniqlo.com/my/en/products/E477234-000
rayon blouse  print,rayon,129.9,women,xs-3xl,xs,3xl,5.0,5,0,https://www.uniqlo.com/my/en/products/E475658-000
seersucker volume blouse  short sleeve  gingham,seersucker,99.9,women,xs-xxl,xs,xxl,0.0,0,8,https://www.uniqlo.com/my/en/products/E476775-000
seersucker volume blouse  short sleeve,seersucker,99.9,women,xs-xxl,xs,xxl,0.0,0,8,https://www.uniqlo.com/my/en/products/E475677-000
embroidery band collar blouse  long sleeve,embroidery,129.9,women,xs-3xl,xs,3xl,0.0,0,1,https://www.uniqlo.com/my/en/products/E477233-000
dry sweat full-zip hoodie,dry,149.9,women,xs-xxl,xs,xxl,5.0,5,0,https://www.uniqlo.com/my/en/products/E475855-000
boxy crew neck sweatshirt,boxy,149.9,women,s-l,s,l,5.0,1,2,https://www.uniqlo.com/my/en/products/E476170-000
sweatshirt,sweatshirt,129.9,unisex,xs-3xl,xs,3xl,4.8,13,0,https://www.uniqlo.com/my/en/products/E475377-000
sweat pullover hoodie,sweat,149.9,unisex,xs-3xl,xs,3xl,4.6,10,0,https://www.uniqlo.com/my/en/products/E475378-000
sweat pullover hoodie,sweat,149.9,unisex,xs-xxl,xs,xxl,4.9,36,0,https://www.uniqlo.com/my/en/products/E471808-000
sweat full-zip hoodie,sweat,149.9,unisex,xs-3xl,xs,3xl,4.9,12,0,https://www.uniqlo.com/my/en/products/E475380-000
dry sweat pants,dry,129.9,women,xs-3xl,xs,3xl,4.2,13,0,https://www.uniqlo.com/my/en/products/E476109-000
sweat wide pants,sweat,129.9,unisex,xs-xxl,xs,xxl,4.9,191,0,https://www.uniqlo.com/my/en/products/E471809-000
ribbed polo cardigan  half sleeve,ribbed,129.9,women,xs-3xl,xs,3xl,5.0,1,0,https://www.uniqlo.com/my/en/products/E477081-000
cable crew neck cardigan,cable,149.9,women,xs-xxl,xs,xxl,0.0,0,4,https://www.uniqlo.com/my/en/products/E478222-000
smooth cotton relaxed polo sweater  stripe,smooth,149.9,women,xs-3xl,xs,3xl,5.0,10,0,https://www.uniqlo.com/my/en/products/E476973-000
3d knit cotton relaxed v neck sweater  stripe,3d,149.9,women,xs-3xl,xs,3xl,4.6,8,0,https://www.uniqlo.com/my/en/products/E476766-000
smooth cotton crew neck sweater,smooth,149.9,women,xs-3xl,xs,3xl,4.8,19,0,https://www.uniqlo.com/my/en/products/E475053-000
3d knit cotton relaxed v neck sweater,3d,149.9,women,xs-3xl,xs,3xl,4.4,8,0,https://www.uniqlo.com/my/en/products/E474978-000
washable knit ribbed polo sweater  co-ord,washable,99.9,women,xs-3xl,xs,3xl,4.9,208,0,https://www.uniqlo.com/my/en/products/E471220-000
3d knit cotton crew neck sweater,3d,149.9,women,xs-3xl,xs,3xl,4.7,156,0,https://www.uniqlo.com/my/en/products/E461090-000
uv protection crew neck cardigan  stripe,uv,99.9,women,xs-3xl,xs,3xl,5.0,5,0,https://www.uniqlo.com/my/en/products/E476975-000
uv protection crew neck cardigan,uv,99.9,women,xs-3xl,xs,3xl,4.9,195,0,https://www.uniqlo.com/my/en/products/E465484-000
pajamas  long sleeve  multi stripe,pajamas,129.9,women,xs-3xl,xs,3xl,0.0,0,4,https://www.uniqlo.com/my/en/products/E477079-000
pajamas  long sleeve  pin stripe,pajamas,129.9,women,xs-3xl,xs,3xl,0.0,0,4,https://www.uniqlo.com/my/en/products/E477007-000
satin pajamas  long sleeve,satin,129.9,women,xs-3xl,xs,3xl,5.0,1,3,https://www.uniqlo.com/my/en/products/E473797-000
airism cotton pajamas  long sleeve  print,airism,129.9,women,xs-3xl,xs,3xl,5.0,1,3,https://www.uniqlo.com/my/en/products/E473795-000
airism cotton pajamas  long sleeve,airism,129.9,women,xs-3xl,xs,3xl,5.0,23,3,https://www.uniqlo.com/my/en/products/E470162-000
linen blend easy pants  stripe,linen,99.9,women,xs-3xl,xs,3xl,5.0,4,0,https://www.uniqlo.com/my/en/products/E477006-000
cotton relaxed ankle pants  stripe,cotton,79.9,women,xs-3xl,xs,3xl,4.9,15,0,https://www.uniqlo.com/my/en/products/E476655-000
linen blend easy pants,linen,99.9,women,xs-3xl,xs,3xl,4.8,13,0,https://www.uniqlo.com/my/en/products/E473791-000
cotton relaxed ankle pants  denim,cotton,79.9,women,xs-3xl,xs,3xl,4.9,311,0,https://www.uniqlo.com/my/en/products/E471401-000
washable knit ribbed pants  co-ord,washable,99.9,women,xs-3xl,xs,3xl,4.8,148,0,https://www.uniqlo.com/my/en/products/E470173-000
cotton relaxed ankle pants,cotton,79.9,women,xs-3xl,xs,3xl,4.8,981,0,https://www.uniqlo.com/my/en/products/E466026-000
cotton easy shorts  print,cotton,59.9,women,xs-3xl,xs,3xl,4.7,6,0,https://www.uniqlo.com/my/en/products/E477647-000
cotton easy shorts  denim,cotton,59.9,women,xs-3xl,xs,3xl,4.9,15,0,https://www.uniqlo.com/my/en/products/E473761-000
cotton easy shorts,cotton,59.9,women,xs-3xl,xs,3xl,5.0,22,0,https://www.uniqlo.com/my/en/products/E473760-000
